net,length_um
net127,211.5µm
_0074_,204.43µm
net79,189.43µm
net118,186.38µm
net80,184.18µm
net114,179.05µm
net108,173.74µm
_0078_,173.15µm
net100,165.04µm
_0079_,161.98µm
net86,157.02µm
net125,151.59µm
net84,150.08µm
net105,149.76µm
net87,147.66µm
net124,146.62µm
_0070_,146.3µm
_0076_,142.02µm
net78,140.54µm
clknet_0_clk,137.08µm
net101,134.74µm
net5,134.12µm
net126,133.58µm
net82,133.02µm
clknet_3_2__leaf_clk,130.74µm
net98,130.69µm
net76,128.35µm
_0085_,126.69µm
_0232_,124.09µm
net117,123.04µm
net132,122.95µm
net85,121.16µm
_0080_,119.93µm
net122,119.08µm
net104,119.07µm
net120,118.415µm
_0196_,117.23µm
net2,117.18µm
net112,116.93µm
clknet_3_7__leaf_clk,116.32µm
net223,114.64µm
clk,112.11µm
net354,111.82µm
net89,111.08µm
net123,110.965µm
net81,110.6µm
net116,110.2µm
v_pipe,106.4µm
_0075_,105.78µm
net119,105.62µm
_0077_,105.56µm
net107,103.01µm
_0073_,102.64µm
net75,101.48µm
product_reg\[14\],101.38µm
net77,100.84µm
_0000_,97.125µm
clknet_3_3__leaf_clk,97.02µm
net106,96.75µm
net310,94.6µm
net103,94.56µm
net131,93.86µm
net102,92.48µm
net90,90.96µm
net88,89.96µm
net210,89.04µm
clknet_3_0__leaf_clk,88.6µm
clknet_3_5__leaf_clk,88.26µm
_0086_,86.02µm
net219,83.91µm
net115,81.26µm
net16,78.27µm
net121,78.18µm
net83,77.75µm
net113,77.68µm
clknet_3_6__leaf_clk,77.62µm
net74,76.52µm
net165,73.46µm
clknet_3_4__leaf_clk,71.46µm
net93,71.16µm
net168,71.04µm
net130,69.92µm
net330,69.46µm
_0427_,67.64µm
net109,66.4µm
net111,65.82µm
net72,65.32µm
net387,65.22µm
_0475_,63.54µm
net92,63.32µm
net91,61.15µm
net279,60.04µm
_0386_,59.62µm
net280,58.98µm
net315,57.83µm
_0210_,56.8µm
net227,56.6µm
net17,55.96µm
_0586_,55.9µm
_0384_,55.88µm
_0375_,53.5µm
net99,52.84µm
net42,52.78µm
net317,52.61µm
_0477_,52.54µm
net388,51.82µm
net15,51.64µm
net110,51.22µm
_0684_,51.18µm
net10,51.08µm
net38,50.76µm
_0476_,50.56µm
_0438_,50.06µm
_0407_,49µm
net65,48.34µm
_0430_,48.22µm
net217,48.06µm
_0478_,47.84µm
_0366_,47.44µm
_0483_,47.02µm
_0537_,46.68µm
net71,46.48µm
net40,46.47µm
net11,46.41µm
net39,46.28µm
net66,46.2µm
_0428_,46.18µm
_0182_,46.08µm
net6,45.86µm
_0653_,45.72µm
_0511_,45.44µm
net380,45.44µm
product_reg\[3\],45.4µm
clknet_3_1__leaf_clk,45.32µm
net58,44.94µm
_0479_,44.86µm
net68,44.54µm
_0498_,43.64µm
_0374_,43.52µm
net44,43.34µm
net18,43.3µm
_0484_,42.16µm
net52,41.88µm
_0385_,41.8µm
net27,41.76µm
_0083_,41.62µm
net129,41.26µm
_0515_,40.94µm
net94,40.885µm
net57,40.86µm
_0429_,39.54µm
product_reg\[7\],39.38µm
_0632_,39.25µm
_0395_,38.76µm
_0578_,38.44µm
_0394_,38.36µm
net356,38.32µm
_0406_,38.28µm
net379,38.14µm
net357,38.06µm
_0620_,37.96µm
_0157_,37.92µm
_0585_,37.77µm
_0376_,37.18µm
_0410_,36.94µm
_0337_,36.74µm
_0494_,36.66µm
_0222_,36.6µm
net41,36.56µm
_0216_,36.42µm
_0279_,36.42µm
net20,36.1µm
_0538_,36µm
_0295_,35.98µm
_0247_,35.92µm
net55,35.84µm
net209,35.78µm
_0329_,35.74µm
net37,35.685µm
_0357_,35.62µm
net43,35.37µm
net19,35.18µm
_0470_,35.07µm
_0319_,35µm
_0460_,35µm
product_reg\[5\],34.96µm
_0396_,34.6µm
_0579_,34.58µm
_0437_,34.52µm
net362,34.52µm
net4,34.5µm
product_reg\[1\],34.38µm
_0539_,34.28µm
_0611_,34.2µm
_0454_,34.14µm
_0195_,33.78µm
_0327_,33.6µm
_0342_,33.4µm
_0633_,33.4µm
net14,33.4µm
_0090_,33.34µm
_0281_,33.255µm
net128,33.22µm
net64,33.18µm
product_reg\[11\],32.44µm
net220,32.42µm
_0440_,32.26µm
_0412_,32.12µm
_0356_,32.02µm
_0103_,31.62µm
_0193_,31.6µm
_0408_,31.6µm
_0393_,31.14µm
_0267_,31.06µm
_0326_,31.04µm
_0409_,31.02µm
_0435_,30.96µm
_0204_,30.88µm
product_reg\[6\],30.77µm
_0639_,30.68µm
_0535_,30.58µm
_0339_,30.42µm
_0499_,30.32µm
_0466_,30.22µm
_0325_,29.86µm
_0266_,29.84µm
_0609_,29.8µm
_0465_,29.76µm
net53,29.76µm
_0264_,29.75µm
_0468_,29.68µm
_0607_,29.6µm
net95,29.335µm
_0353_,29.32µm
_0151_,29.18µm
product_reg\[0\],29.16µm
net45,29.07µm
_0548_,28.94µm
_0557_,28.91µm
product_reg\[9\],28.84µm
_0567_,28.76µm
_0280_,28.68µm
_0576_,28.68µm
_0489_,28.62µm
_0677_,28.46µm
_0294_,28.34µm
_0397_,28.22µm
net12,28.22µm
_0293_,27.86µm
_0509_,27.7µm
_0588_,27.58µm
net308,27.54µm
_0354_,27.52µm
_0510_,27.52µm
_0495_,27.22µm
net142,27.16µm
_0197_,27.1µm
_0556_,27.08µm
net62,26.76µm
net63,26.68µm
net358,26.64µm
_0514_,26.58µm
_0273_,26.56µm
_0674_,26.52µm
_0434_,26.48µm
_0343_,26.44µm
_0308_,26.32µm
_0355_,26.28µm
_0572_,26.2µm
_0673_,26.14µm
net49,26.08µm
_0381_,25.84µm
product_reg\[15\],25.81µm
_0164_,25.66µm
product_reg\[4\],25.6µm
_0681_,25.1µm
_0452_,25.06µm
_0387_,25.02µm
net59,25.02µm
_0256_,24.94µm
_0606_,24.88µm
net13,24.72µm
_0615_,24.68µm
_0307_,24.48µm
_0655_,24.45µm
_0547_,24.44µm
net7,24.42µm
_0361_,24.34µm
product_reg\[13\],24.26µm
net347,24.2µm
_0469_,23.96µm
_0453_,23.86µm
_0368_,23.74µm
net46,23.64µm
_0320_,23.61µm
_0665_,23.56µm
_0351_,23.5µm
_0553_,23.5µm
net211,23.5µm
_0187_,23.48µm
_0170_,23.46µm
_0364_,23.46µm
_0555_,23.42µm
_0558_,23.4µm
net3,23.16µm
_0155_,23.115µm
_0461_,23µm
_0323_,22.92µm
_0463_,22.9µm
_0081_,22.8µm
_0260_,22.74µm
net322,22.72µm
product_reg\[10\],22.7µm
_0173_,22.66µm
_0638_,22.64µm
_0331_,22.6µm
net67,22.58µm
_0315_,22.44µm
_0244_,22.4µm
_0488_,22.32µm
_0245_,22.3µm
_0496_,22.26µm
_0648_,22.14µm
net56,22.12µm
product_reg\[12\],21.92µm
_0338_,21.76µm
_0111_,21.6µm
_0389_,21.58µm
_0589_,21.58µm
_0388_,21.48µm
_0457_,21.42µm
_0084_,21.2µm
_0284_,21.2µm
net1,21.2µm
_0251_,21.14µm
_0601_,21.12µm
_0426_,21µm
_0526_,20.9µm
_0138_,20.62µm
_0126_,20.34µm
_0610_,20.3µm
_0123_,19.98µm
_0554_,19.82µm
_0257_,19.78µm
_0369_,19.74µm
_0636_,19.74µm
net144,19.74µm
_0596_,19.62µm
_0487_,19.5µm
_0621_,19.5µm
_0112_,19.455µm
_0095_,19.4µm
_0403_,19.28µm
_0352_,19.2µm
_0500_,19.08µm
_0402_,18.96µm
_0529_,18.945µm
_0631_,18.92µm
product_reg\[2\],18.92µm
_0332_,18.82µm
net232,18.78µm
_0275_,18.62µm
_0666_,18.6µm
_0614_,18.58µm
net221,18.58µm
_0291_,18.47µm
_0359_,18.46µm
_0415_,18.18µm
_0309_,18.08µm
_0106_,18.02µm
_0411_,18.02µm
_0146_,17.96µm
_0664_,17.94µm
_0141_,17.86µm
_0153_,17.86µm
_0399_,17.86µm
_0647_,17.86µm
_0158_,17.82µm
_0504_,17.78µm
_0071_,17.7µm
_0175_,17.64µm
_0543_,17.56µm
_0597_,17.52µm
_0133_,17.46µm
_0422_,17.46µm
product_reg\[8\],17.4µm
net51,17.4µm
net364,17.36µm
_0344_,17.28µm
_0595_,17.22µm
_0400_,17.2µm
_0486_,17.2µm
_0183_,17.18µm
_0169_,17.02µm
_0534_,16.92µm
_0421_,16.82µm
_0654_,16.76µm
_0316_,16.74µm
_0552_,16.62µm
_0658_,16.62µm
_0240_,16.58µm
_0501_,16.56µm
_0362_,16.44µm
_0436_,16.42µm
_0144_,16.36µm
_0302_,16.36µm
_0587_,16.32µm
_0304_,16.3µm
net225,16.24µm
_0252_,16.22µm
_0651_,16.14µm
_0583_,16.12µm
_0089_,16.1µm
_0312_,16.06µm
_0569_,15.96µm
psum[24],15.95µm
_0110_,15.94µm
_0622_,15.94µm
_0634_,15.9µm
psum[7],15.89µm
psum[8],15.89µm
_0163_,15.86µm
_0521_,15.84µm
net50,15.81µm
net162,15.8µm
_0226_,15.77µm
net278,15.71µm
_0268_,15.7µm
_0474_,15.7µm
psum[6],15.69µm
_0125_,15.62µm
_0660_,15.6µm
_0582_,15.56µm
net138,15.56µm
_0613_,15.54µm
_0599_,15.46µm
_0561_,15.42µm
net152,15.3µm
net373,15.24µm
_0608_,15.18µm
_0423_,15.14µm
_0242_,15.11µm
_0263_,15.1µm
_0333_,15.1µm
_0525_,15.06µm
_0424_,15.02µm
_0296_,14.96µm
_0571_,14.94µm
_0616_,14.88µm
_0250_,14.86µm
_0471_,14.86µm
_0560_,14.76µm
_0119_,14.74µm
psum[22],14.73µm
_0152_,14.72µm
_0536_,14.64µm
_0290_,14.6µm
_0341_,14.6µm
_0265_,14.56µm
_0159_,14.52µm
_0425_,14.48µm
v_a_in,14.46µm
_0431_,14.43µm
_0224_,14.4µm
_0131_,14.34µm
net8,14.34µm
net60,14.3µm
_0645_,14.265µm
_0179_,14.26µm
_0398_,14.26µm
_0672_,14.1µm
net48,14.1µm
net367,14.08µm
_0405_,14.06µm
_0598_,14.06µm
net47,14.04µm
net276,13.98µm
_0568_,13.92µm
net366,13.9µm
net386,13.74µm
_0512_,13.72µm
_0241_,13.66µm
net346,13.66µm
_0098_,13.64µm
_0455_,13.64µm
_0132_,13.62µm
_0590_,13.62µm
_0492_,13.6µm
_0433_,13.54µm
_0205_,13.52µm
_0575_,13.48µm
_0229_,13.46µm
_0278_,13.42µm
_0507_,13.4µm
net229,13.4µm
_0300_,13.38µm
_0458_,13.26µm
_0626_,13.26µm
_0445_,13.24µm
_0097_,13.22µm
_0303_,13.22µm
net361,13.2µm
_0113_,13.18µm
_0287_,13.18µm
_0363_,13.14µm
_0404_,13.12µm
_0661_,13.08µm
net178,13.04µm
_0145_,13.02µm
net331,12.96µm
_0237_,12.92µm
_0680_,12.92µm
net212,12.92µm
_0612_,12.9µm
psum[13],12.87µm
a_out[6],12.83µm
b_out[7],12.74µm
v_a_out,12.74µm
_0282_,12.72µm
_0456_,12.68µm
_0292_,12.66µm
net370,12.66µm
_0502_,12.64µm
_0594_,12.6µm
_0618_,12.58µm
psum[5],12.57µm
_0180_,12.56µm
_0464_,12.54µm
_0528_,12.5µm
_0261_,12.48µm
_0524_,12.46µm
_0221_,12.42µm
psum[30],12.4µm
_0420_,12.38µm
_0459_,12.38µm
_0318_,12.3µm
_0201_,12.26µm
_0637_,12.26µm
_0656_,12.26µm
_0413_,12.22µm
_0140_,12.2µm
net333,12.18µm
net329,12.165µm
psum[16],12.15µm
_0392_,12.14µm
_0262_,12.12µm
_0624_,12.08µm
_0625_,12.08µm
psum[12],12.07µm
_0348_,12.04µm
_0379_,12.04µm
net384,12.02µm
_0105_,11.92µm
_0508_,11.92µm
psum[27],11.89µm
_0334_,11.76µm
_0176_,11.72µm
_0549_,11.7µm
_0662_,11.7µm
net169,11.7µm
psum[25],11.67µm
_0177_,11.66µm
_0313_,11.66µm
_0442_,11.66µm
net235,11.66µm
_0546_,11.65µm
_0285_,11.58µm
net228,11.46µm
_0350_,11.42µm
_0551_,11.42µm
_0532_,11.38µm
_0115_,11.36µm
_0270_,11.34µm
_0541_,11.34µm
_0235_,11.24µm
_0641_,11.22µm
_0473_,11.2µm
_0671_,11.2µm
psum[19],11.19µm
_0139_,11.14µm
_0186_,11.08µm
_0236_,11.08µm
_0584_,11.08µm
_0678_,11.08µm
psum[26],11.05µm
_0016_,11.02µm
psum[18],10.99µm
_0643_,10.86µm
_0092_,10.8µm
_0550_,10.8µm
net218,10.8µm
net381,10.78µm
_0482_,10.74µm
_0147_,10.7µm
_0230_,10.62µm
_0246_,10.62µm
_0321_,10.58µm
a_out[7],10.56µm
v_b_out,10.56µm
net175,10.54µm
net312,10.52µm
_0335_,10.5µm
net150,10.5µm
_0340_,10.42µm
psum[14],10.33µm
net238,10.32µm
_0520_,10.3µm
_0360_,10.24µm
psum[4],10.19µm
_0099_,10.14µm
_0203_,10.12µm
_0324_,10.12µm
_0185_,10.115µm
_0480_,10.08µm
net353,10.08µm
_0570_,10.06µm
net372,10.04µm
_0432_,9.96µm
_0135_,9.86µm
_0067_,9.82µm
net167,9.82µm
_0652_,9.8µm
a_in[7],9.74µm
b_in[6],9.74µm
b_in[7],9.74µm
a_in[2],9.64µm
a_out[4],9.64µm
a_out[5],9.64µm
b_out[5],9.64µm
b_out[6],9.64µm
psum[17],9.63µm
_0574_,9.58µm
_0082_,9.56µm
_0166_,9.56µm
_0215_,9.56µm
_0213_,9.54µm
net135,9.54µm
_0299_,9.48µm
_0347_,9.48µm
_0372_,9.48µm
net35,9.48µm
net382,9.44µm
_0127_,9.42µm
_0064_,9.405µm
_0462_,9.4µm
v_b_in,9.4µm
_0418_,9.32µm
_0218_,9.26µm
_0305_,9.26µm
_0306_,9.24µm
_0544_,9.24µm
_0072_,9.2µm
net31,9.2µm
psum[15],9.18µm
psum[31],9.18µm
_0667_,9.12µm
_0001_,9.085µm
_0134_,9.08µm
_0531_,9.08µm
net307,9.08µm
_0623_,9.06µm
_0225_,9.04µm
_0391_,9.04µm
_0117_,9.02µm
_0168_,9.02µm
_0202_,8.98µm
net25,8.98µm
a_out[0],8.96µm
a_out[1],8.96µm
a_out[2],8.96µm
a_out[3],8.96µm
b_out[2],8.96µm
b_out[3],8.96µm
b_out[4],8.96µm
_0272_,8.94µm
_0367_,8.93µm
_0188_,8.9µm
_0565_,8.9µm
a_in[1],8.84µm
_0383_,8.82µm
_0540_,8.78µm
net181,8.78µm
net374,8.74µm
_0065_,8.725µm
a_in[0],8.72µm
_0269_,8.7µm
_0644_,8.7µm
_0314_,8.66µm
_0172_,8.62µm
_0449_,8.6µm
net391,8.6µm
_0104_,8.56µm
_0248_,8.54µm
net236,8.54µm
net36,8.52µm
net147,8.52µm
net180,8.52µm
b_out[0],8.5µm
b_out[1],8.5µm
psum[0],8.5µm
psum[1],8.5µm
psum[2],8.5µm
net182,8.5µm
_0523_,8.46µm
_0563_,8.46µm
_0006_,8.38µm
net230,8.36µm
b_in[2],8.35µm
_0542_,8.32µm
psum[9],8.29µm
_0365_,8.24µm
_0382_,8.24µm
_0034_,8.205µm
_0659_,8.2µm
_0156_,8.16µm
_0506_,8.16µm
_0116_,8.14µm
_0124_,8.14µm
_0048_,8.125µm
psum[21],8.07µm
_0088_,8.06µm
_0580_,8.06µm
_0249_,8.02µm
_0322_,8.02µm
net154,8.02µm
_0443_,7.98µm
_0663_,7.98µm
net32,7.98µm
net214,7.98µm
_0223_,7.94µm
_0227_,7.94µm
_0441_,7.92µm
_0165_,7.8µm
_0559_,7.74µm
_0317_,7.7µm
_0591_,7.69µm
_0068_,7.64µm
net26,7.64µm
_0642_,7.62µm
_0020_,7.605µm
_0181_,7.6µm
_0513_,7.6µm
net137,7.6µm
net160,7.6µm
net172,7.58µm
net389,7.56µm
_0373_,7.54µm
net54,7.52µm
b_in[5],7.49µm
_0209_,7.48µm
net179,7.48µm
_0208_,7.44µm
_0277_,7.44µm
net149,7.4µm
net340,7.36µm
_0649_,7.34µm
b_in[0],7.33µm
_0178_,7.28µm
net215,7.18µm
psum[3],7.13µm
_0646_,7.12µm
net226,7.1µm
net277,7.1µm
net23,7.06µm
_0467_,7.04µm
_0009_,7µm
a_in[3],6.99µm
_0446_,6.94µm
_0414_,6.86µm
_0602_,6.82µm
_0481_,6.78µm
net176,6.78µm
_0069_,6.76µm
_0371_,6.76µm
net316,6.76µm
net351,6.76µm
net394,6.76µm
_0328_,6.74µm
_0417_,6.74µm
_0485_,6.72µm
net69,6.72µm
net306,6.72µm
_0167_,6.66µm
_0564_,6.66µm
_0239_,6.64µm
_0683_,6.64µm
_0028_,6.625µm
_0451_,6.62µm
_0002_,6.6µm
_0017_,6.54µm
_0670_,6.54µm
_0062_,6.525µm
net145,6.52µm
_0019_,6.5µm
_0091_,6.48µm
net97,6.48µm
net134,6.48µm
net141,6.48µm
psum[10],6.45µm
psum[20],6.45µm
_0276_,6.4µm
net146,6.4µm
a_in[5],6.31µm
b_in[4],6.31µm
_0233_,6.3µm
net348,6.3µm
net375,6.3µm
net377,6.3µm
net393,6.3µm
_0545_,6.28µm
net96,6.28µm
_0129_,6.26µm
net70,6.26µm
_0194_,6.2µm
_0015_,6.185µm
_0184_,6.18µm
net319,6.18µm
net371,6.18µm
_0503_,6.14µm
net22,6.14µm
_0212_,6.12µm
psum[11],6.09µm
_0025_,6.08µm
_0234_,6.08µm
b_in[1],5.97µm
_0053_,5.96µm
net341,5.96µm
_0026_,5.86µm
net395,5.86µm
_0043_,5.845µm
_0243_,5.84µm
_0298_,5.84µm
_0358_,5.82µm
net61,5.8µm
net208,5.8µm
net390,5.8µm
_0493_,5.78µm
psum[28],5.77µm
psum[29],5.77µm
_0206_,5.74µm
_0220_,5.72µm
net29,5.72µm
net290,5.72µm
_0100_,5.68µm
_0349_,5.68µm
_0380_,5.68µm
net24,5.68µm
net244,5.68µm
_0036_,5.645µm
b_in[3],5.63µm
_0491_,5.56µm
_0566_,5.52µm
_0635_,5.48µm
net136,5.44µm
_0096_,5.4µm
_0161_,5.4µm
_0162_,5.38µm
_0628_,5.38µm
_0682_,5.38µm
net350,5.38µm
net376,5.38µm
_0058_,5.345µm
_0228_,5.34µm
_0472_,5.34µm
_0581_,5.34µm
net34,5.34µm
_0021_,5.305µm
reset,5.29µm
_0120_,5.28µm
net233,5.28µm
_0012_,5.265µm
_0109_,5.26µm
_0148_,5.26µm
_0207_,5.26µm
_0238_,5.26µm
_0519_,5.26µm
net336,5.26µm
net21,5.22µm
net385,5.22µm
net288,5.16µm
_0390_,5.14µm
_0675_,5.14µm
net155,5.1µm
net216,5.1µm
a_in[6],5.07µm
_0254_,5.06µm
net163,5.06µm
_0060_,5.045µm
_0005_,4.975µm
_0191_,4.94µm
_0530_,4.94µm
_0686_,4.94µm
_0174_,4.92µm
net213,4.92µm
net291,4.92µm
net359,4.92µm
net392,4.92µm
_0014_,4.905µm
_0573_,4.9µm
_0122_,4.88µm
_0143_,4.88µm
_0231_,4.88µm
_0336_,4.88µm
net140,4.88µm
net143,4.88µm
net234,4.88µm
net305,4.88µm
net321,4.88µm
_0253_,4.8µm
net148,4.8µm
net231,4.8µm
_0310_,4.76µm
_0497_,4.76µm
_0533_,4.76µm
net207,4.76µm
net313,4.76µm
psum[23],4.73µm
_0031_,4.7µm
_0444_,4.68µm
a_in[4],4.61µm
net156,4.6µm
_0063_,4.585µm
_0286_,4.58µm
_0685_,4.56µm
_0562_,4.48µm
_0600_,4.48µm
_0669_,4.48µm
_0259_,4.46µm
_0288_,4.42µm
_0330_,4.42µm
net28,4.42µm
net343,4.42µm
_0448_,4.36µm
net139,4.36µm
_0130_,4.34µm
_0603_,4.34µm
net33,4.34µm
_0059_,4.295µm
_0056_,4.26µm
_0032_,4.165µm
_0630_,4.12µm
_0345_,4.1µm
_0592_,4.1µm
_0007_,4.095µm
net309,4.02µm
_0102_,4µm
_0516_,4µm
net222,3.98µm
clear_acc,3.93µm
_0142_,3.9µm
_0150_,3.9µm
net237,3.9µm
_0136_,3.88µm
_0522_,3.88µm
_0617_,3.88µm
_0619_,3.88µm
net151,3.88µm
net177,3.88µm
_0024_,3.78µm
_0679_,3.76µm
_0629_,3.745µm
_0200_,3.66µm
_0517_,3.66µm
_0255_,3.64µm
_0577_,3.64µm
_0258_,3.56µm
_0101_,3.54µm
_0137_,3.54µm
net153,3.54µm
_0042_,3.525µm
_0214_,3.44µm
_0676_,3.44µm
_0114_,3.42µm
_0416_,3.42µm
_0640_,3.42µm
_0657_,3.42µm
_0211_,3.32µm
_0377_,3.32µm
_0035_,3.225µm
_0118_,3.22µm
net368,3.22µm
net369,3.22µm
net159,3.19µm
_0370_,3.1µm
net161,3.1µm
net170,3.1µm
_0198_,3.08µm
_0301_,3.08µm
_0650_,3.08µm
_0037_,3.055µm
_0030_,3.045µm
_0045_,3.005µm
_0046_,3.005µm
_0107_,2.98µm
_0450_,2.98µm
_0311_,2.96µm
_0527_,2.96µm
net30,2.96µm
net314,2.96µm
_0038_,2.885µm
_0018_,2.88µm
_0041_,2.86µm
_0055_,2.86µm
_0057_,2.86µm
_0401_,2.84µm
net133,2.84µm
net260,2.84µm
net383,2.84µm
_0061_,2.76µm
net164,2.76µm
net174,2.76µm
net311,2.72µm
_0052_,2.715µm
net378,2.64µm
_0044_,2.62µm
_0289_,2.62µm
_0439_,2.62µm
_0627_,2.62µm
_0011_,2.585µm
_0013_,2.545µm
_0029_,2.545µm
_0189_,2.5µm
_0190_,2.5µm
_0518_,2.5µm
_0604_,2.5µm
_0668_,2.5µm
net166,2.5µm
_0008_,2.485µm
_0040_,2.485µm
_0047_,2.42µm
_0054_,2.42µm
_0128_,2.4µm
_0199_,2.4µm
_0593_,2.4µm
_0505_,2.38µm
net171,2.38µm
net206,2.38µm
_0160_,2.3µm
net157,2.3µm
net224,2.28µm
net360,2.28µm
_0094_,2.18µm
net339,2.18µm
_0093_,2.16µm
_0108_,2.16µm
_0171_,2.16µm
net324,2.16µm
net344,2.16µm
net396,2.16µm
_0039_,2.145µm
_0003_,2.125µm
_0066_,2.125µm
_0050_,2.085µm
_0087_,2.085µm
_0027_,2.08µm
net9,2.06µm
_0219_,2.04µm
_0283_,2.04µm
_0297_,2.04µm
net73,2.04µm
net173,2.04µm
_0010_,2.025µm
_0051_,2.025µm
_0033_,1.865µm
_0121_,1.84µm
_0192_,1.84µm
_0378_,1.84µm
net320,1.84µm
net397,1.84µm
net318,1.82µm
_0149_,1.7µm
_0271_,1.7µm
_0346_,1.7µm
_0419_,1.7µm
_0605_,1.7µm
net325,1.7µm
_0004_,1.685µm
_0022_,1.685µm
_0049_,1.685µm
_0023_,1.575µm
_0217_,1.48µm
net334,1.46µm
net239,1.38µm
net158,1.26µm
_0154_,1.14µm
net287,1.14µm
_0274_,0.92µm
_0490_,0.92µm
_0447_,0.8µm
